,category,jitter,shape_indices,widths
0,straight,0,0,0.7
1,straight,0,1,0.7040816326530612
2,straight,0,2,0.7081632653061224
3,straight,0,3,0.7122448979591837
4,straight,0,4,0.7163265306122448
5,straight,0,5,0.7204081632653061
6,straight,0,6,0.7244897959183673
7,straight,0,7,0.7285714285714285
8,straight,0,8,0.7326530612244897
9,straight,0,9,0.736734693877551
10,straight,0,10,0.7408163265306122
11,straight,0,11,0.7448979591836734
12,straight,0,12,0.7489795918367347
13,straight,0,13,0.7530612244897958
14,straight,0,14,0.7571428571428571
15,straight,0,15,0.7612244897959183
16,straight,0,16,0.7653061224489796
17,straight,0,17,0.7693877551020407
18,straight,0,18,0.773469387755102
19,straight,0,19,0.7775510204081633
20,straight,0,20,0.7816326530612244
21,straight,0,21,0.7857142857142857
22,straight,0,22,0.7897959183673469
23,straight,0,23,0.7938775510204081
24,straight,0,24,0.7979591836734693
25,straight,0,25,0.8020408163265306
26,straight,0,26,0.8061224489795917
27,straight,0,27,0.810204081632653
28,straight,0,28,0.8142857142857143
29,straight,0,29,0.8183673469387754
30,straight,0,30,0.8224489795918367
31,straight,0,31,0.8265306122448979
32,straight,0,32,0.8306122448979592
33,straight,0,33,0.8346938775510203
34,straight,0,34,0.8387755102040816
35,straight,0,35,0.8428571428571427
36,straight,0,36,0.846938775510204
37,straight,0,37,0.8510204081632653
38,straight,0,38,0.8551020408163265
39,straight,0,39,0.8591836734693877
40,straight,0,40,0.8632653061224489
41,straight,0,41,0.8673469387755102
42,straight,0,42,0.8714285714285713
43,straight,0,43,0.8755102040816326
44,straight,0,44,0.8795918367346938
45,straight,0,45,0.883673469387755
46,straight,0,46,0.8877551020408163
47,straight,0,47,0.8918367346938775
48,straight,0,48,0.8959183673469386
49,straight,0,49,0.8999999999999999
50,curved,0,0,0.8999999999999999
51,curved,0,1,0.9040816326530612
52,curved,0,2,0.9081632653061223
53,curved,0,3,0.9122448979591836
54,curved,0,4,0.9163265306122448
55,curved,0,5,0.9204081632653061
56,curved,0,6,0.9244897959183672
57,curved,0,7,0.9285714285714285
58,curved,0,8,0.9326530612244897
59,curved,0,9,0.9367346938775509
60,curved,0,10,0.9408163265306122
61,curved,0,11,0.9448979591836734
62,curved,0,12,0.9489795918367346
63,curved,0,13,0.9530612244897958
64,curved,0,14,0.9571428571428571
65,curved,0,15,0.9612244897959182
66,curved,0,16,0.9653061224489795
67,curved,0,17,0.9693877551020407
68,curved,0,18,0.973469387755102
69,curved,0,19,0.9775510204081632
70,curved,0,20,0.9816326530612244
71,curved,0,21,0.9857142857142857
72,curved,0,22,0.9897959183673468
73,curved,0,23,0.9938775510204081
74,curved,0,24,0.9979591836734693
75,curved,0,25,1.0020408163265304
76,curved,0,26,1.0061224489795917
77,curved,0,27,1.010204081632653
78,curved,0,28,1.0142857142857142
79,curved,0,29,1.0183673469387755
80,curved,0,30,1.0224489795918366
81,curved,0,31,1.0265306122448978
82,curved,0,32,1.030612244897959
83,curved,0,33,1.0346938775510204
84,curved,0,34,1.0387755102040814
85,curved,0,35,1.0428571428571427
86,curved,0,36,1.046938775510204
87,curved,0,37,1.0510204081632653
88,curved,0,38,1.0551020408163265
89,curved,0,39,1.0591836734693876
90,curved,0,40,1.0632653061224488
91,curved,0,41,1.0673469387755101
92,curved,0,42,1.0714285714285714
93,curved,0,43,1.0755102040816324
94,curved,0,44,1.0795918367346937
95,curved,0,45,1.083673469387755
96,curved,0,46,1.0877551020408163
97,curved,0,47,1.0918367346938775
98,curved,0,48,1.0959183673469386
99,curved,0,49,1.0999999999999999
