,category,jitter,shape_indices,widths
0,straight,0,0,0.2
1,straight,0,1,0.2042929292929293
2,straight,0,2,0.2085858585858586
3,straight,0,3,0.2128787878787879
4,straight,0,4,0.21717171717171718
5,straight,0,5,0.22146464646464648
6,straight,0,6,0.22575757575757577
7,straight,0,7,0.23005050505050506
8,straight,0,8,0.23434343434343435
9,straight,0,9,0.23863636363636365
10,straight,0,10,0.24292929292929294
11,straight,0,11,0.24722222222222223
12,straight,0,12,0.2515151515151515
13,straight,0,13,0.2558080808080808
14,straight,0,14,0.2601010101010101
15,straight,0,15,0.2643939393939394
16,straight,0,16,0.2686868686868687
17,straight,0,17,0.272979797979798
18,straight,0,18,0.2772727272727273
19,straight,0,19,0.2815656565656566
20,straight,0,20,0.28585858585858587
21,straight,0,21,0.29015151515151516
22,straight,0,22,0.29444444444444445
23,straight,0,23,0.29873737373737375
24,straight,0,24,0.30303030303030304
25,straight,0,25,0.30732323232323233
26,straight,0,26,0.3116161616161616
27,straight,0,27,0.3159090909090909
28,straight,0,28,0.3202020202020202
29,straight,0,29,0.3244949494949495
30,straight,0,30,0.3287878787878788
31,straight,0,31,0.3330808080808081
32,straight,0,32,0.3373737373737374
33,straight,0,33,0.3416666666666667
34,straight,0,34,0.34595959595959597
35,straight,0,35,0.35025252525252526
36,straight,0,36,0.35454545454545455
37,straight,0,37,0.35883838383838385
38,straight,0,38,0.36313131313131314
39,straight,0,39,0.36742424242424243
40,straight,0,40,0.3717171717171717
41,straight,0,41,0.376010101010101
42,straight,0,42,0.3803030303030303
43,straight,0,43,0.3845959595959596
44,straight,0,44,0.3888888888888889
45,straight,0,45,0.3931818181818182
46,straight,0,46,0.3974747474747475
47,straight,0,47,0.4017676767676768
48,straight,0,48,0.40606060606060607
49,straight,0,49,0.41035353535353536
50,straight,0,50,0.41464646464646465
51,straight,0,51,0.41893939393939394
52,straight,0,52,0.42323232323232324
53,straight,0,53,0.42752525252525253
54,straight,0,54,0.4318181818181818
55,straight,0,55,0.4361111111111111
56,straight,0,56,0.4404040404040404
57,straight,0,57,0.4446969696969697
58,straight,0,58,0.448989898989899
59,straight,0,59,0.4532828282828283
60,straight,0,60,0.4575757575757576
61,straight,0,61,0.4618686868686869
62,straight,0,62,0.46616161616161617
63,straight,0,63,0.47045454545454546
64,straight,0,64,0.47474747474747475
65,straight,0,65,0.47904040404040404
66,straight,0,66,0.48333333333333334
67,straight,0,67,0.48762626262626263
68,straight,0,68,0.4919191919191919
69,straight,0,69,0.4962121212121212
70,straight,0,70,0.5005050505050506
71,straight,0,71,0.5047979797979798
72,straight,0,72,0.509090909090909
73,straight,0,73,0.5133838383838384
74,straight,0,74,0.5176767676767677
75,straight,0,75,0.521969696969697
76,straight,0,76,0.5262626262626262
77,straight,0,77,0.5305555555555556
