Tick	Time	TriggerCode	Block	Trial	GazeDirX	GazeDirY	GazeDirZ	HeadPosX	HeadPosY	HeadPosZ	HeadDirX	HeadDirY	HeadDirZ	EyeOpenL	EyeOpenR	PupilDiaL	PupilDiaR	PupilSensorLx	PupilSensorLy	PupilSensorRx	PupilSensorRy	PositionLx	PositionLy	PositionRx	PositionRy	GazeAngleX	GazeAngleY	HeadAngleX	HeadAngleY	ViewGazeX	ViewGazeY	ViewGazeZ	ViewFixX	ViewFixY	ViewFixZ	HandRPosX	HandRPosY	HandRPosZ	HandRDirX	HandRDirY	HandRDirZ	FixationPointX	FixationPointY	FixationPointZ
445	40870	0	1	1	0.02186299	-0.04571434	0.998705	-0.05108738	1.672324	-0.07371509	0.04288502	-0.007140281	0.9990545	1	1	2.89032	2.981674	0.4495389	0.4603352	0.461539	0.4725186	0.4495389	0.4603352	0.461539	0.4725186	1.253982	-2.620773	2.457901	-0.4092611	0.8924547	-6.182098	0.08777714	0.4932635	0.4853784	2.074661	-0.00707823	1.183008	0.1277102	-0.0279225	0.06199858	0.9976856	0.001522169	1.553949	2.910943
446	40881	0	1	1	0.02165024	-0.04563252	0.9987134	-0.05095404	1.672387	-0.07386959	0.04269131	-0.007087756	0.9990632	1	1	2.89032	2.981674	0.4495389	0.4603352	0.461539	0.4725186	0.4495389	0.4603352	0.461539	0.4725186	1.241908	-2.616063	2.446806	-0.4063823	0.8925016	-6.178378	0.08782916	0.4933159	0.4853511	2.074813	-0.007148385	1.183038	0.1276945	-0.03008392	0.06129652	0.9976661	0.001066193	1.554177	2.910804
447	40892	0	1	1	0.01838282	-0.04621986	0.9987552	-0.05093223	1.672389	-0.07399082	0.04260324	-0.007064199	0.9990671	1	1	2.89212	2.980377	0.4498501	0.4603135	0.4604251	0.4727561	0.4498501	0.4603135	0.4604251	0.4727561	1.054434	-2.649593	2.441762	-0.4049353	0.8936228	-6.172502	0.08790576	0.4933493	0.4853428	2.074935	-0.007131636	1.183117	0.1276911	-0.03367104	0.06048369	0.9976011	-0.0126863	1.562989	2.678561
448	40903	0	1	1	0.01933166	-0.04650697	0.9987267	-0.0508666	1.672381	-0.07406735	0.04262136	-0.006988234	0.9990668	1	1	2.837616	2.973358	0.4498501	0.4603135	0.4608859	0.4728037	0.4498501	0.4603135	0.4608859	0.4728037	1.108888	-2.66609	2.442804	-0.4005627	0.8940159	-6.176466	0.08785324	0.4933312	0.4853173	2.075001	-0.007208586	1.182983	0.1275294	-0.03451366	0.05906064	0.9976576	-0.009854384	1.5645	2.657089
449	40914	0	1	1	0.01934741	-0.04642963	0.9987301	-0.05079645	1.672387	-0.07414448	0.04277819	-0.007038256	0.9990598	1	1	2.837616	2.973358	0.4498501	0.4603135	0.4608859	0.4728037	0.4498501	0.4603135	0.4608859	0.4728037	1.10977	-2.661681	2.451761	-0.403483	0.893164	-6.163934	0.08801843	0.4932565	0.4853325	2.075073	-0.00745225	1.182908	0.1274709	-0.03371307	0.05720102	0.9977933	-0.009358913	1.564372	2.656998
450	40925	0	1	1	0.02162562	-0.04528	0.9987339	-0.05077481	1.672392	-0.07417667	0.04279198	-0.007080431	0.9990589	1	1	2.881134	2.976273	0.4495329	0.4603944	0.461617	0.4723951	0.4495329	0.4603944	0.461617	0.4723951	1.240489	-2.595858	2.452559	-0.4059006	0.8943223	-6.156112	0.08812087	0.4932503	0.4853451	2.075108	-0.007533431	1.182867	0.1274707	-0.03112309	0.05301474	0.9981086	0.009361565	1.5415	3.186619
451	40937	0	1	1	0.02151337	-0.04456659	0.998773	-0.05073959	1.672369	-0.07422733	0.04304872	-0.006950552	0.9990488	1	1	2.878571	2.980118	0.4494943	0.4603872	0.4616398	0.4723179	0.4494943	0.4603872	0.4616398	0.4723179	1.234004	-2.554969	2.467279	-0.3986039	0.8957676	-6.167825	0.08796488	0.4931465	0.4853005	2.075136	-0.007952571	1.182739	0.1276687	-0.03116343	0.05024835	0.9982504	0.01365282	1.536439	3.335997
452	40948	0	1	1	0.022017	-0.04415037	0.9987798	-0.05069441	1.672366	-0.07433987	0.04305302	-0.006943166	0.9990487	1	1	2.885605	2.98056	0.4495269	0.4604537	0.4618054	0.47215	0.4495269	0.4604537	0.4618054	0.47215	1.262846	-2.531031	2.467517	-0.3981127	0.895884	-6.160336	0.08806321	0.4931376	0.4852984	2.075246	-0.008135974	1.182649	0.127579	-0.03189104	0.047626	0.998356	0.01919309	1.530181	3.488031
453	40959	0	1	1	0.02201739	-0.04414078	0.9987803	-0.05066293	1.67236	-0.07439148	0.04317145	-0.006996702	0.9990432	1	1	2.885605	2.98056	0.4495269	0.4604537	0.4618054	0.47215	0.4495269	0.4604537	0.4618054	0.47215	1.262846	-2.53049	2.47433	-0.4010509	0.8959525	-6.149283	0.08820848	0.4930867	0.4853166	2.075296	-0.008525491	1.182374	0.127887	-0.03452336	0.04507747	0.9983868	0.01963215	1.529994	3.487966
454	40970	0	1	1	0.02288557	-0.04338674	0.9987944	-0.05058968	1.67242	-0.07445097	0.04309585	-0.006958923	0.9990467	1	1	2.879288	2.977448	0.4495269	0.4604537	0.4621789	0.4719449	0.4495269	0.4604537	0.4621789	0.4719449	1.312539	-2.487269	2.469975	-0.3990945	0.8957728	-6.150294	0.08819845	0.493103	0.4852939	2.075352	-0.008678675	1.182307	0.1273022	-0.03517823	0.04205376	0.9984959	0.03275327	1.513759	3.936456
