,shape_indices,widths
0,0,0.3
1,1,0.3081632653061224
2,2,0.31632653061224486
3,3,0.32448979591836735
4,4,0.3326530612244898
5,5,0.3408163265306122
6,6,0.34897959183673466
7,7,0.3571428571428571
8,8,0.3653061224489796
9,9,0.373469387755102
10,10,0.38163265306122446
11,11,0.38979591836734695
12,12,0.3979591836734694
13,13,0.4061224489795918
14,14,0.41428571428571426
15,15,0.4224489795918367
16,16,0.43061224489795913
17,17,0.43877551020408156
18,18,0.44693877551020406
19,19,0.4551020408163265
20,20,0.463265306122449
21,21,0.4714285714285714
22,22,0.47959183673469385
23,23,0.4877551020408163
24,24,0.4959183673469387
25,25,0.5040816326530612
26,26,0.5122448979591836
27,27,0.5204081632653061
28,28,0.5285714285714285
29,29,0.536734693877551
30,30,0.5448979591836735
31,31,0.5530612244897959
32,32,0.5612244897959183
33,33,0.5693877551020408
34,34,0.5775510204081632
35,35,0.5857142857142856
36,36,0.5938775510204082
37,37,0.6020408163265305
38,38,0.610204081632653
39,39,0.6183673469387755
40,40,0.6265306122448979
41,41,0.6346938775510204
42,42,0.6428571428571428
43,43,0.6510204081632652
44,44,0.6591836734693877
45,45,0.6673469387755102
46,46,0.6755102040816325
47,47,0.6836734693877551
48,48,0.6918367346938774
49,49,0.7
